Age,Gender,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Time per Day (hrs),Material Level,IQ,Consistency,Health,Assessment Score,Health Description,Consistency_Num,Material_Level_Num,Student_Level_Num,Course_Level_Num
18,Male,Farmer,High,Intermediate,Advanced,Math,2.2,Advanced,133,Irregular,4,88,Good,0,3,2,3
10,Male,Government Employee,High,Beginner,Beginner,Geography,2.7,Intermediate,114,Regular,4,86,Good,1,2,1,1
6,Female,Farmer,Low,Beginner,Beginner,Biology,2.0,Beginner,101,Irregular,5,70,Excellent,0,1,1,1
17,Female,Artist,Low,Advanced,Advanced,Chemistry,1.3,Advanced,117,Regular,5,69,Excellent,1,3,3,3
17,Male,Business Owner,Middle,Advanced,Advanced,History,5.4,Advanced,103,Irregular,3,61,Average,0,3,3,3
5,Female,Farmer,Middle,Beginner,Intermediate,Chemistry,3.4,Advanced,73,Irregular,3,72,Average,0,3,1,2
8,Female,Other,High,Intermediate,Intermediate,English,2.7,Intermediate,101,Irregular,4,75,Good,0,2,2,2
4,Male,Business Owner,Low,Beginner,Beginner,Math,1.7,Beginner,90,Irregular,1,35,Very Poor,0,1,1,1
11,Female,Doctor,High,Intermediate,Intermediate,Chemistry,3.6,Intermediate,130,Regular,5,87,Excellent,1,2,2,2
3,Male,Teacher,Low,Beginner,Beginner,Physics,3.5,Beginner,113,Irregular,3,83,Average,0,1,1,1
6,Female,Engineer,High,Beginner,Beginner,Art,2.9,Intermediate,72,Irregular,3,60,Average,0,2,1,1
6,Female,Unemployed,Middle,Beginner,Beginner,Chemistry,1.1,Intermediate,113,Irregular,2,41,Poor,0,2,1,1
5,Male,Business Owner,Low,Beginner,Beginner,Science,2.1,Beginner,86,Regular,1,38,Very Poor,1,1,1,1
16,Male,Doctor,Low,Intermediate,Intermediate,Math,1.2,Intermediate,85,Regular,5,80,Excellent,1,2,2,2
15,Male,Farmer,Middle,Intermediate,Beginner,English,2.3,Beginner,117,Regular,5,79,Excellent,1,1,2,1
18,Female,Government Employee,Middle,Advanced,Advanced,Science,3.3,Advanced,128,Regular,4,84,Good,1,3,3,3
14,Female,Teacher,High,Intermediate,Intermediate,Computer Science,3.3,Advanced,70,Regular,2,65,Poor,1,3,2,2
16,Female,Doctor,High,Advanced,Advanced,Science,5.1,Intermediate,131,Regular,1,54,Very Poor,1,2,3,3
12,Male,Government Employee,Low,Intermediate,Intermediate,Geography,2.2,Advanced,89,Irregular,2,53,Poor,0,3,2,2
4,Female,Farmer,High,Beginner,Beginner,Science,2.0,Intermediate,89,Regular,4,60,Good,1,2,1,1
11,Female,Doctor,Middle,Intermediate,Beginner,Physics,2.6,Intermediate,102,Irregular,4,68,Good,0,2,2,1
12,Female,Engineer,Middle,Beginner,Beginner,Chemistry,2.9,Beginner,95,Regular,3,60,Average,1,1,1,1
7,Male,Unemployed,Middle,Beginner,Beginner,Physics,1.5,Beginner,82,Regular,1,24,Very Poor,1,1,1,1
17,Female,Doctor,Middle,Intermediate,Advanced,Chemistry,2.4,Advanced,95,Irregular,2,52,Poor,0,3,2,3
3,Male,Teacher,High,Beginner,Beginner,Computer Science,2.1,Beginner,105,Regular,1,36,Very Poor,1,1,1,1
10,Male,Engineer,Middle,Beginner,Beginner,History,2.3,Beginner,99,Regular,4,83,Good,1,1,1,1
18,Male,Farmer,Middle,Advanced,Advanced,Science,2.0,Advanced,82,Irregular,5,74,Excellent,0,3,3,3
14,Male,Artist,High,Advanced,Advanced,History,5.6,Advanced,116,Irregular,3,80,Average,0,3,3,3
5,Male,Other,High,Beginner,Beginner,Science,2.4,Beginner,124,Irregular,5,88,Excellent,0,1,1,1
11,Male,Business Owner,High,Intermediate,Intermediate,English,2.6,Intermediate,75,Regular,2,49,Poor,1,2,2,2
3,Male,Government Employee,Middle,Beginner,Intermediate,Science,3.2,Intermediate,101,Regular,1,66,Very Poor,1,2,1,2
3,Male,Doctor,Low,Beginner,Intermediate,Physics,4.1,Intermediate,97,Regular,3,91,Average,1,2,1,2
6,Female,Unemployed,Middle,Beginner,Beginner,Geography,0.6,Beginner,108,Irregular,3,61,Average,0,1,1,1
13,Male,Other,Low,Beginner,Intermediate,Computer Science,2.4,Advanced,112,Irregular,4,79,Good,0,3,1,2
9,Male,Engineer,Low,Beginner,Intermediate,Art,1.8,Beginner,113,Irregular,3,70,Average,0,1,1,2
9,Male,Doctor,High,Intermediate,Intermediate,Biology,1.0,Beginner,89,Regular,4,62,Good,1,1,2,2
9,Male,Doctor,Low,Beginner,Intermediate,Computer Science,4.1,Advanced,83,Regular,2,57,Poor,1,3,1,2
8,Female,Doctor,Low,Intermediate,Intermediate,Geography,2.0,Advanced,137,Regular,5,82,Excellent,1,3,2,2
7,Male,Unemployed,Middle,Beginner,Beginner,Biology,1.9,Beginner,140,Regular,1,53,Very Poor,1,1,1,1
4,Male,Business Owner,High,Beginner,Intermediate,Geography,0.7,Advanced,124,Regular,3,63,Average,1,3,1,2
10,Female,Farmer,High,Intermediate,Beginner,History,2.0,Beginner,86,Regular,2,68,Poor,1,1,2,1
8,Female,Artist,Middle,Intermediate,Beginner,Chemistry,2.5,Beginner,113,Irregular,3,70,Average,0,1,2,1
5,Male,Farmer,Middle,Beginner,Beginner,Biology,0.8,Beginner,96,Regular,1,18,Very Poor,1,1,1,1
4,Female,Teacher,Middle,Beginner,Beginner,Chemistry,2.4,Beginner,122,Regular,3,79,Average,1,1,1,1
15,Male,Artist,Middle,Intermediate,Intermediate,Computer Science,3.6,Intermediate,105,Regular,5,84,Excellent,1,2,2,2
10,Male,Unemployed,Middle,Intermediate,Intermediate,Chemistry,0.2,Intermediate,83,Regular,4,61,Good,1,2,2,2
7,Female,Doctor,High,Beginner,Beginner,Geography,1.4,Intermediate,116,Regular,3,51,Average,1,2,1,1
18,Female,Government Employee,Low,Advanced,Advanced,Art,3.2,Advanced,106,Irregular,4,82,Good,0,3,3,3
14,Male,Farmer,Middle,Advanced,Advanced,Geography,3.8,Advanced,113,Irregular,4,79,Good,0,3,3,3
6,Female,Other,Middle,Beginner,Beginner,Computer Science,1.5,Beginner,106,Irregular,1,37,Very Poor,0,1,1,1
18,Female,Doctor,Low,Intermediate,Advanced,History,1.6,Intermediate,89,Irregular,1,43,Very Poor,0,2,2,3
3,Male,Farmer,High,Beginner,Beginner,Art,2.1,Beginner,70,Regular,5,61,Excellent,1,1,1,1
13,Female,Teacher,Middle,Intermediate,Intermediate,Art,3.6,Intermediate,106,Regular,5,83,Excellent,1,2,2,2
15,Male,Unemployed,High,Advanced,Intermediate,Math,1.2,Advanced,93,Regular,4,66,Good,1,3,3,2
3,Male,Doctor,High,Beginner,Beginner,Chemistry,1.5,Beginner,96,Regular,5,79,Excellent,1,1,1,1
3,Female,Engineer,Middle,Beginner,Beginner,History,2.1,Beginner,86,Regular,3,53,Average,1,1,1,1
5,Female,Farmer,High,Beginner,Beginner,English,2.3,Intermediate,93,Irregular,1,29,Very Poor,0,2,1,1
12,Male,Unemployed,High,Intermediate,Intermediate,Math,3.7,Advanced,78,Regular,2,76,Poor,1,3,2,2
4,Male,Other,Low,Beginner,Beginner,Math,1.1,Beginner,98,Irregular,2,45,Poor,0,1,1,1
9,Male,Government Employee,High,Beginner,Beginner,Physics,1.8,Beginner,110,Irregular,3,59,Average,0,1,1,1
15,Female,Doctor,Low,Intermediate,Intermediate,History,1.0,Advanced,74,Irregular,4,65,Good,0,3,2,2
3,Female,Engineer,High,Beginner,Beginner,Chemistry,2.4,Beginner,83,Regular,3,71,Average,1,1,1,1
4,Male,Farmer,High,Beginner,Beginner,Biology,2.7,Beginner,90,Irregular,1,39,Very Poor,0,1,1,1
6,Male,Artist,Middle,Beginner,Beginner,Biology,0.5,Intermediate,76,Irregular,4,45,Good,0,2,1,1
6,Female,Farmer,High,Beginner,Beginner,Physics,1.9,Beginner,112,Regular,2,55,Poor,1,1,1,1
16,Male,Engineer,Middle,Intermediate,Intermediate,Geography,3.3,Intermediate,115,Irregular,3,58,Average,0,2,2,2
18,Male,Other,Middle,Intermediate,Advanced,Science,5.1,Advanced,81,Regular,4,80,Good,1,3,2,3
4,Female,Unemployed,High,Beginner,Beginner,Chemistry,0.4,Beginner,99,Regular,2,34,Poor,1,1,1,1
4,Female,Other,Middle,Beginner,Beginner,Computer Science,1.5,Beginner,111,Irregular,4,60,Good,0,1,1,1
16,Female,Business Owner,High,Advanced,Advanced,Math,4.3,Advanced,110,Regular,5,100,Excellent,1,3,3,3
9,Female,Other,Low,Intermediate,Advanced,Chemistry,6.0,Advanced,80,Irregular,2,65,Poor,0,3,2,3
12,Male,Engineer,High,Intermediate,Intermediate,Math,2.2,Intermediate,122,Irregular,3,48,Average,0,2,2,2
14,Female,Unemployed,High,Advanced,Advanced,Geography,6.1,Advanced,105,Irregular,3,81,Average,0,3,3,3
9,Male,Engineer,Low,Intermediate,Intermediate,History,3.3,Beginner,91,Regular,4,78,Good,1,1,2,2
6,Male,Farmer,Middle,Beginner,Beginner,Physics,2.0,Beginner,107,Regular,2,59,Poor,1,1,1,1
14,Female,Government Employee,High,Intermediate,Beginner,Geography,0.9,Beginner,105,Irregular,3,66,Average,0,1,2,1
8,Male,Business Owner,High,Beginner,Beginner,Geography,2.0,Beginner,99,Irregular,1,37,Very Poor,0,1,1,1
13,Female,Business Owner,Middle,Beginner,Beginner,Math,1.9,Beginner,103,Regular,4,60,Good,1,1,1,1
12,Male,Doctor,Middle,Intermediate,Intermediate,Geography,1.5,Intermediate,106,Regular,5,92,Excellent,1,2,2,2
15,Male,Farmer,Middle,Intermediate,Advanced,History,2.7,Advanced,129,Regular,3,73,Average,1,3,2,3
8,Male,Engineer,Low,Beginner,Intermediate,Physics,2.3,Beginner,129,Regular,3,95,Average,1,1,1,2
10,Female,Government Employee,High,Beginner,Beginner,Chemistry,2.1,Beginner,65,Regular,4,68,Good,1,1,1,1
8,Male,Other,High,Beginner,Beginner,English,0.1,Beginner,120,Irregular,2,44,Poor,0,1,1,1
9,Male,Other,High,Beginner,Beginner,Computer Science,1.4,Intermediate,127,Regular,1,44,Very Poor,1,2,1,1
11,Male,Engineer,Middle,Intermediate,Intermediate,Chemistry,3.8,Intermediate,124,Regular,5,100,Excellent,1,2,2,2
17,Male,Teacher,High,Advanced,Advanced,Art,3.7,Advanced,71,Irregular,5,78,Excellent,0,3,3,3
17,Male,Government Employee,Middle,Intermediate,Beginner,Art,0.7,Beginner,66,Irregular,3,28,Average,0,1,2,1
16,Male,Other,High,Intermediate,Beginner,Biology,1.7,Intermediate,111,Irregular,5,64,Excellent,0,2,2,1
8,Male,Doctor,Low,Beginner,Beginner,History,2.5,Beginner,92,Regular,4,59,Good,1,1,1,1
15,Male,Farmer,High,Intermediate,Intermediate,Math,1.6,Beginner,136,Irregular,1,55,Very Poor,0,1,2,2
12,Female,Doctor,Low,Beginner,Beginner,Geography,2.1,Beginner,87,Irregular,5,68,Excellent,0,1,1,1
14,Female,Unemployed,Middle,Advanced,Advanced,History,4.1,Advanced,83,Regular,4,76,Good,1,3,3,3
7,Male,Teacher,High,Beginner,Beginner,Art,1.0,Intermediate,134,Irregular,1,38,Very Poor,0,2,1,1
11,Male,Unemployed,High,Intermediate,Intermediate,Chemistry,2.4,Intermediate,137,Regular,3,74,Average,1,2,2,2
13,Male,Government Employee,Low,Beginner,Intermediate,Science,2.8,Beginner,113,Regular,2,72,Poor,1,1,1,2
3,Female,Artist,High,Beginner,Beginner,Chemistry,1.9,Beginner,109,Regular,2,62,Poor,1,1,1,1
17,Male,Engineer,High,Intermediate,Intermediate,Art,2.6,Intermediate,107,Irregular,3,66,Average,0,2,2,2
9,Female,Other,Low,Intermediate,Intermediate,Biology,1.3,Intermediate,113,Regular,4,72,Good,1,2,2,2
16,Male,Doctor,Low,Advanced,Advanced,English,6.0,Advanced,119,Irregular,3,79,Average,0,3,3,3
14,Male,Artist,Low,Intermediate,Advanced,Biology,5.0,Advanced,99,Regular,4,90,Good,1,3,2,3
3,Male,Engineer,Middle,Beginner,Beginner,Chemistry,1.4,Beginner,91,Irregular,3,75,Average,0,1,1,1
10,Female,Government Employee,High,Beginner,Beginner,Geography,2.5,Beginner,138,Irregular,4,74,Good,0,1,1,1
18,Female,Government Employee,High,Advanced,Advanced,Physics,5.5,Advanced,89,Regular,1,60,Very Poor,1,3,3,3
12,Male,Unemployed,High,Beginner,Beginner,Physics,1.8,Intermediate,131,Irregular,1,39,Very Poor,0,2,1,1
13,Female,Teacher,High,Intermediate,Intermediate,Math,2.7,Intermediate,121,Irregular,4,72,Good,0,2,2,2
11,Male,Artist,Low,Intermediate,Intermediate,Computer Science,2.4,Intermediate,118,Regular,3,74,Average,1,2,2,2
15,Female,Unemployed,Low,Advanced,Advanced,Math,4.5,Advanced,109,Regular,4,89,Good,1,3,3,3
7,Female,Business Owner,Middle,Beginner,Beginner,Math,1.0,Beginner,115,Irregular,3,68,Average,0,1,1,1
11,Male,Engineer,Low,Intermediate,Intermediate,Computer Science,2.0,Intermediate,81,Regular,3,68,Average,1,2,2,2
17,Female,Government Employee,High,Intermediate,Advanced,Art,3.6,Advanced,98,Regular,1,46,Very Poor,1,3,2,3
5,Female,Farmer,Middle,Beginner,Beginner,Science,1.5,Intermediate,97,Irregular,4,48,Good,0,2,1,1
13,Female,Other,Middle,Intermediate,Intermediate,Chemistry,2.6,Intermediate,97,Irregular,1,33,Very Poor,0,2,2,2
14,Female,Artist,High,Advanced,Advanced,Geography,5.5,Intermediate,109,Irregular,4,83,Good,0,2,3,3
7,Male,Artist,Low,Beginner,Beginner,Science,3.1,Intermediate,133,Regular,4,81,Good,1,2,1,1
11,Male,Government Employee,Low,Beginner,Intermediate,English,3.5,Intermediate,76,Regular,3,65,Average,1,2,1,2
8,Female,Doctor,High,Intermediate,Beginner,Computer Science,1.1,Beginner,81,Regular,1,33,Very Poor,1,1,2,1
11,Female,Artist,Middle,Intermediate,Intermediate,Science,0.6,Intermediate,106,Irregular,1,40,Very Poor,0,2,2,2
7,Male,Farmer,High,Beginner,Beginner,Geography,2.8,Beginner,124,Irregular,5,74,Excellent,0,1,1,1
5,Male,Engineer,Middle,Beginner,Beginner,Biology,1.9,Intermediate,127,Irregular,5,95,Excellent,0,2,1,1
5,Male,Other,Low,Beginner,Beginner,Science,2.7,Beginner,81,Irregular,3,57,Average,0,1,1,1
9,Female,Business Owner,Low,Beginner,Intermediate,Physics,1.7,Beginner,112,Regular,4,88,Good,1,1,1,2
8,Female,Farmer,Middle,Beginner,Intermediate,English,1.5,Advanced,109,Irregular,2,40,Poor,0,3,1,2
7,Female,Doctor,Low,Beginner,Beginner,Art,2.9,Beginner,81,Irregular,3,59,Average,0,1,1,1
18,Female,Doctor,Low,Intermediate,Beginner,Chemistry,1.2,Intermediate,87,Regular,5,63,Excellent,1,2,2,1
17,Male,Artist,Middle,Intermediate,Advanced,Math,2.8,Advanced,89,Irregular,1,48,Very Poor,0,3,2,3
9,Male,Farmer,High,Intermediate,Beginner,Geography,1.5,Beginner,123,Irregular,2,44,Poor,0,1,2,1
13,Male,Other,Middle,Intermediate,Intermediate,English,2.8,Advanced,84,Irregular,5,81,Excellent,0,3,2,2
10,Male,Unemployed,Low,Intermediate,Beginner,Geography,1.6,Intermediate,140,Irregular,3,60,Average,0,2,2,1
18,Male,Artist,Middle,Intermediate,Intermediate,Geography,3.1,Beginner,120,Irregular,1,50,Very Poor,0,1,2,2
17,Female,Doctor,Middle,Advanced,Advanced,History,2.2,Advanced,87,Irregular,2,55,Poor,0,3,3,3
16,Female,Unemployed,High,Advanced,Intermediate,Science,2.1,Intermediate,114,Regular,4,87,Good,1,2,3,2
5,Female,Farmer,Middle,Beginner,Beginner,History,0.4,Beginner,113,Regular,1,28,Very Poor,1,1,1,1
11,Female,Artist,High,Intermediate,Intermediate,Biology,2.7,Beginner,83,Regular,4,60,Good,1,1,2,2
3,Male,Business Owner,High,Beginner,Beginner,Math,2.2,Beginner,130,Irregular,2,46,Poor,0,1,1,1
10,Female,Business Owner,High,Beginner,Beginner,Math,2.1,Intermediate,118,Regular,1,48,Very Poor,1,2,1,1
15,Female,Other,High,Advanced,Advanced,Geography,2.6,Advanced,133,Regular,5,93,Excellent,1,3,3,3
3,Male,Doctor,High,Beginner,Beginner,English,1.4,Intermediate,84,Regular,4,68,Good,1,2,1,1
18,Female,Artist,Low,Intermediate,Intermediate,Computer Science,2.9,Advanced,118,Irregular,3,77,Average,0,3,2,2
7,Male,Other,Low,Beginner,Beginner,Art,1.7,Beginner,108,Regular,3,57,Average,1,1,1,1
15,Female,Other,Low,Intermediate,Intermediate,Chemistry,1.9,Beginner,91,Irregular,1,56,Very Poor,0,1,2,2
7,Male,Farmer,High,Beginner,Beginner,Computer Science,0.9,Beginner,97,Irregular,5,51,Excellent,0,1,1,1
7,Female,Unemployed,Middle,Beginner,Beginner,Physics,0.3,Intermediate,109,Irregular,1,36,Very Poor,0,2,1,1
10,Male,Other,High,Beginner,Beginner,Math,2.5,Beginner,128,Irregular,1,45,Very Poor,0,1,1,1
7,Female,Business Owner,High,Beginner,Beginner,Science,2.1,Intermediate,101,Irregular,5,67,Excellent,0,2,1,1
14,Female,Business Owner,High,Intermediate,Intermediate,Science,0.9,Beginner,104,Irregular,1,35,Very Poor,0,1,2,2
8,Male,Unemployed,Low,Beginner,Beginner,History,2.2,Beginner,77,Irregular,1,31,Very Poor,0,1,1,1
4,Female,Doctor,Middle,Beginner,Beginner,History,2.5,Beginner,85,Regular,2,52,Poor,1,1,1,1
8,Female,Artist,High,Beginner,Beginner,Physics,1.7,Beginner,77,Regular,1,43,Very Poor,1,1,1,1
5,Male,Engineer,Low,Beginner,Beginner,Biology,0.1,Beginner,88,Regular,4,41,Good,1,1,1,1
8,Female,Business Owner,High,Intermediate,Intermediate,English,1.6,Intermediate,109,Irregular,5,75,Excellent,0,2,2,2
8,Male,Artist,Low,Beginner,Beginner,Computer Science,1.9,Beginner,109,Irregular,3,62,Average,0,1,1,1
15,Female,Artist,High,Advanced,Advanced,Art,5.8,Intermediate,88,Regular,3,92,Average,1,2,3,3
10,Female,Farmer,Middle,Intermediate,Advanced,Computer Science,4.1,Advanced,130,Irregular,2,61,Poor,0,3,2,3
16,Male,Artist,High,Intermediate,Intermediate,Math,2.0,Beginner,87,Irregular,5,70,Excellent,0,1,2,2
3,Male,Farmer,Middle,Beginner,Beginner,Biology,2.4,Beginner,113,Irregular,4,67,Good,0,1,1,1
6,Male,Unemployed,Middle,Beginner,Beginner,Art,0.6,Beginner,124,Irregular,1,47,Very Poor,0,1,1,1
16,Female,Business Owner,High,Intermediate,Intermediate,Geography,1.2,Beginner,120,Regular,2,56,Poor,1,1,2,2
6,Male,Unemployed,High,Beginner,Beginner,Physics,2.4,Beginner,127,Regular,2,74,Poor,1,1,1,1
12,Male,Artist,High,Beginner,Beginner,Biology,0.4,Beginner,115,Regular,5,78,Excellent,1,1,1,1
3,Male,Doctor,High,Beginner,Beginner,Science,0.3,Intermediate,129,Irregular,2,43,Poor,0,2,1,1
18,Male,Business Owner,High,Intermediate,Intermediate,Biology,2.9,Intermediate,81,Irregular,3,70,Average,0,2,2,2
6,Male,Artist,Low,Beginner,Beginner,Math,1.9,Beginner,129,Irregular,4,69,Good,0,1,1,1
7,Male,Artist,Low,Beginner,Beginner,Chemistry,2.1,Beginner,92,Irregular,3,39,Average,0,1,1,1
15,Male,Artist,High,Intermediate,Intermediate,Biology,4.2,Intermediate,107,Irregular,2,53,Poor,0,2,2,2
16,Male,Artist,Middle,Intermediate,Intermediate,Art,2.3,Beginner,94,Irregular,2,43,Poor,0,1,2,2
11,Male,Teacher,Low,Intermediate,Advanced,Art,4.4,Advanced,130,Irregular,3,92,Average,0,3,2,3
12,Female,Farmer,Low,Intermediate,Intermediate,Physics,2.5,Intermediate,124,Regular,3,89,Average,1,2,2,2
5,Female,Farmer,High,Beginner,Intermediate,Math,2.5,Intermediate,112,Irregular,3,79,Average,0,2,1,2
13,Male,Engineer,High,Intermediate,Beginner,Science,2.2,Beginner,98,Irregular,2,62,Poor,0,1,2,1
9,Male,Engineer,Middle,Intermediate,Advanced,Geography,5.8,Advanced,130,Irregular,4,100,Good,0,3,2,3
3,Female,Doctor,Low,Beginner,Beginner,Science,1.3,Beginner,80,Regular,4,54,Good,1,1,1,1
18,Male,Engineer,High,Advanced,Advanced,Physics,4.5,Advanced,123,Regular,3,94,Average,1,3,3,3
8,Female,Engineer,Low,Intermediate,Intermediate,Math,2.4,Intermediate,130,Irregular,1,44,Very Poor,0,2,2,2
9,Male,Doctor,High,Beginner,Intermediate,Geography,3.5,Advanced,80,Regular,1,60,Very Poor,1,3,1,2
11,Male,Unemployed,Middle,Beginner,Intermediate,Science,4.9,Intermediate,76,Regular,3,75,Average,1,2,1,2
12,Male,Doctor,High,Intermediate,Advanced,History,3.3,Advanced,111,Irregular,3,69,Average,0,3,2,3
18,Male,Business Owner,Low,Advanced,Advanced,Physics,5.3,Intermediate,85,Irregular,5,92,Excellent,0,2,3,3
3,Female,Doctor,Middle,Beginner,Beginner,Computer Science,1.2,Intermediate,112,Regular,2,57,Poor,1,2,1,1
10,Male,Government Employee,High,Intermediate,Intermediate,Biology,4.0,Intermediate,116,Regular,3,73,Average,1,2,2,2
17,Male,Farmer,Low,Advanced,Advanced,Math,5.2,Advanced,129,Irregular,5,100,Excellent,0,3,3,3
12,Female,Government Employee,Middle,Intermediate,Advanced,Biology,4.6,Advanced,128,Regular,1,81,Very Poor,1,3,2,3
8,Male,Business Owner,High,Intermediate,Intermediate,Art,2.9,Beginner,117,Irregular,2,62,Poor,0,1,2,2
15,Female,Teacher,Low,Intermediate,Intermediate,English,2.7,Intermediate,72,Irregular,5,64,Excellent,0,2,2,2
11,Female,Business Owner,High,Intermediate,Intermediate,Geography,1.9,Advanced,126,Regular,2,72,Poor,1,3,2,2
15,Male,Teacher,Middle,Advanced,Advanced,Geography,2.8,Intermediate,106,Regular,3,87,Average,1,2,3,3
3,Female,Artist,Low,Beginner,Beginner,History,1.7,Beginner,121,Regular,1,45,Very Poor,1,1,1,1
11,Male,Doctor,Low,Intermediate,Intermediate,Chemistry,2.8,Intermediate,95,Irregular,1,28,Very Poor,0,2,2,2
5,Female,Business Owner,High,Beginner,Beginner,Science,1.6,Beginner,110,Regular,4,77,Good,1,1,1,1
16,Male,Teacher,Middle,Intermediate,Intermediate,Physics,1.4,Advanced,128,Irregular,1,52,Very Poor,0,3,2,2
16,Male,Business Owner,High,Intermediate,Intermediate,Art,2.6,Advanced,75,Irregular,1,33,Very Poor,0,3,2,2
11,Female,Other,Middle,Intermediate,Intermediate,Biology,1.8,Intermediate,83,Irregular,2,52,Poor,0,2,2,2
13,Male,Farmer,Middle,Intermediate,Advanced,Chemistry,4.3,Advanced,80,Irregular,2,78,Poor,0,3,2,3
5,Male,Farmer,High,Beginner,Beginner,Computer Science,0.2,Intermediate,97,Regular,2,27,Poor,1,2,1,1
3,Male,Engineer,High,Beginner,Beginner,English,2.5,Beginner,119,Irregular,2,54,Poor,0,1,1,1
7,Female,Other,Middle,Beginner,Beginner,Art,1.3,Beginner,77,Regular,5,73,Excellent,1,1,1,1
10,Female,Teacher,High,Intermediate,Intermediate,Art,3.4,Advanced,89,Regular,1,51,Very Poor,1,3,2,2
13,Female,Farmer,Low,Beginner,Beginner,Chemistry,0.1,Intermediate,129,Regular,1,36,Very Poor,1,2,1,1
16,Female,Other,Low,Advanced,Advanced,Science,3.9,Intermediate,65,Regular,4,82,Good,1,2,3,3
8,Male,Government Employee,Low,Beginner,Beginner,History,0.6,Beginner,84,Irregular,5,53,Excellent,0,1,1,1
13,Female,Engineer,High,Beginner,Beginner,Computer Science,1.2,Intermediate,117,Regular,1,40,Very Poor,1,2,1,1
3,Male,Unemployed,Middle,Beginner,Beginner,Science,1.9,Intermediate,91,Irregular,4,65,Good,0,2,1,1
10,Male,Artist,High,Intermediate,Intermediate,Biology,4.0,Beginner,80,Regular,1,41,Very Poor,1,1,2,2
5,Female,Farmer,High,Beginner,Beginner,English,1.9,Beginner,75,Regular,5,57,Excellent,1,1,1,1
8,Female,Farmer,Low,Intermediate,Intermediate,Biology,2.1,Beginner,126,Regular,5,81,Excellent,1,1,2,2
18,Male,Teacher,High,Intermediate,Intermediate,Biology,2.3,Intermediate,94,Regular,3,58,Average,1,2,2,2
3,Male,Teacher,Low,Beginner,Beginner,Art,1.5,Beginner,101,Irregular,2,54,Poor,0,1,1,1
9,Male,Teacher,Middle,Intermediate,Intermediate,Art,3.0,Intermediate,83,Irregular,1,45,Very Poor,0,2,2,2
13,Female,Doctor,High,Intermediate,Beginner,Art,0.7,Intermediate,107,Regular,5,68,Excellent,1,2,2,1
13,Female,Doctor,High,Beginner,Beginner,Chemistry,2.3,Beginner,70,Irregular,5,56,Excellent,0,1,1,1
15,Male,Doctor,High,Advanced,Advanced,Physics,2.8,Advanced,75,Regular,4,96,Good,1,3,3,3
9,Male,Farmer,Middle,Beginner,Beginner,Geography,0.4,Intermediate,88,Regular,4,67,Good,1,2,1,1
6,Female,Farmer,Middle,Beginner,Beginner,Chemistry,2.6,Intermediate,72,Regular,3,58,Average,1,2,1,1
5,Female,Farmer,Middle,Beginner,Beginner,History,1.6,Beginner,126,Irregular,2,64,Poor,0,1,1,1
3,Female,Engineer,Middle,Beginner,Beginner,Math,1.8,Beginner,88,Irregular,1,45,Very Poor,0,1,1,1
8,Male,Teacher,Middle,Beginner,Beginner,English,0.8,Beginner,79,Regular,3,58,Average,1,1,1,1
16,Male,Other,Low,Intermediate,Intermediate,History,1.4,Intermediate,140,Regular,2,67,Poor,1,2,2,2
3,Male,Other,Middle,Beginner,Intermediate,Biology,3.9,Beginner,85,Regular,1,60,Very Poor,1,1,1,2
12,Female,Artist,Middle,Beginner,Beginner,Math,0.1,Beginner,90,Regular,4,46,Good,1,1,1,1
15,Male,Government Employee,Middle,Intermediate,Intermediate,Math,1.9,Intermediate,114,Regular,1,47,Very Poor,1,2,2,2
10,Male,Business Owner,Middle,Beginner,Intermediate,Science,2.3,Advanced,89,Irregular,3,62,Average,0,3,1,2
14,Male,Doctor,Low,Intermediate,Beginner,Biology,0.4,Beginner,118,Regular,1,27,Very Poor,1,1,2,1
17,Male,Doctor,Middle,Advanced,Advanced,History,2.1,Intermediate,98,Irregular,1,44,Very Poor,0,2,3,3
17,Female,Business Owner,High,Intermediate,Intermediate,History,3.3,Advanced,135,Irregular,1,67,Very Poor,0,3,2,2
16,Female,Unemployed,Low,Advanced,Intermediate,Art,1.7,Beginner,123,Irregular,4,76,Good,0,1,3,2
8,Female,Government Employee,Middle,Intermediate,Beginner,Chemistry,0.4,Beginner,77,Regular,4,48,Good,1,1,2,1
10,Male,Artist,Middle,Beginner,Beginner,History,2.6,Beginner,85,Irregular,5,69,Excellent,0,1,1,1
17,Female,Engineer,High,Advanced,Advanced,Geography,4.8,Advanced,102,Regular,5,100,Excellent,1,3,3,3
7,Female,Doctor,Middle,Beginner,Intermediate,Geography,2.2,Beginner,111,Irregular,2,52,Poor,0,1,1,2
11,Female,Unemployed,High,Intermediate,Advanced,Art,4.0,Intermediate,126,Regular,1,70,Very Poor,1,2,2,3
13,Male,Engineer,Low,Intermediate,Advanced,Geography,2.6,Advanced,115,Regular,4,81,Good,1,3,2,3
12,Female,Artist,Low,Beginner,Beginner,English,1.1,Intermediate,89,Regular,5,74,Excellent,1,2,1,1
4,Male,Government Employee,Low,Beginner,Intermediate,Geography,0.7,Advanced,89,Irregular,2,44,Poor,0,3,1,2
13,Male,Other,Middle,Intermediate,Intermediate,Biology,2.1,Intermediate,123,Regular,3,69,Average,1,2,2,2
